year,zone,mean_C,pop_weighted_C
2020,Informal,40.85942840576172,40.69904327392578
2020,Formal (non-informal),36.16741180419922,38.36918640136719
2022,Informal,40.824153900146484,40.65363311767578
2022,Formal (non-informal),37.11795425415039,38.498512268066406
2024,Informal,40.71831130981445,40.30426788330078
2024,Formal (non-informal),35.90638732910156,38.14414978027344
