zone,metric,n,mean,median,std,p10,p90
Informal,LST_2024_C,2565,40.71831130981445,40.89989471435547,2.1249027252197266,37.96910858154297,43.22652587890625
Formal (non-informal),LST_2024_C,144110,35.90638732910156,36.29410171508789,3.855731964111328,30.499253845214845,40.59044761657715
